obs,icdcode,icdlabel,cc,addcc
257,B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",1,
258,C01,Malignant neoplasm of base of tongue,11,
259,C020,Malignant neoplasm of dorsal surface of tongue,11,
260,C021,Malignant neoplasm of border of tongue,11,
261,C022,Malignant neoplasm of ventral surface of tongue,11,
262,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",11,
263,C024,Malignant neoplasm of lingual tonsil,11,
264,C028,Malignant neoplasm of overlapping sites of tongue,11,
265,C029,"Malignant neoplasm of tongue, unspecified",11,
266,C030,Malignant neoplasm of upper gum,11,
267,C031,Malignant neoplasm of lower gum,11,
268,C039,"Malignant neoplasm of gum, unspecified",11,
269,C040,Malignant neoplasm of anterior floor of mouth,11,
270,C041,Malignant neoplasm of lateral floor of mouth,11,
271,C048,Malignant neoplasm of overlapping sites of floor of mouth,11,
272,C049,"Malignant neoplasm of floor of mouth, unspecified",11,
273,C050,Malignant neoplasm of hard palate,11,
274,C051,Malignant neoplasm of soft palate,11,
275,C052,Malignant neoplasm of uvula,11,
276,C058,Malignant neoplasm of overlapping sites of palate,11,
277,C059,"Malignant neoplasm of palate, unspecified",11,
278,C060,Malignant neoplasm of cheek mucosa,11,
279,C061,Malignant neoplasm of vestibule of mouth,11,
280,C062,Malignant neoplasm of retromolar area,11,
281,C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,11,
282,C0689,Malignant neoplasm of overlapping sites of other parts of mouth,11,
283,C069,"Malignant neoplasm of mouth, unspecified",11,
284,C07,Malignant neoplasm of parotid gland,11,
285,C080,Malignant neoplasm of submandibular gland,11,
286,C081,Malignant neoplasm of sublingual gland,11,
287,C089,"Malignant neoplasm of major salivary gland, unspecified",11,
288,C090,Malignant neoplasm of tonsillar fossa,11,
289,C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),11,
290,C098,Malignant neoplasm of overlapping sites of tonsil,11,
291,C099,"Malignant neoplasm of tonsil, unspecified",11,
292,C100,Malignant neoplasm of vallecula,11,
293,C101,Malignant neoplasm of anterior surface of epiglottis,11,
294,C102,Malignant neoplasm of lateral wall of oropharynx,11,
295,C103,Malignant neoplasm of posterior wall of oropharynx,11,
296,C104,Malignant neoplasm of branchial cleft,11,
297,C108,Malignant neoplasm of overlapping sites of oropharynx,11,
298,C109,"Malignant neoplasm of oropharynx, unspecified",11,
299,C110,Malignant neoplasm of superior wall of nasopharynx,11,
300,C111,Malignant neoplasm of posterior wall of nasopharynx,11,
301,C112,Malignant neoplasm of lateral wall of nasopharynx,11,
302,C113,Malignant neoplasm of anterior wall of nasopharynx,11,
303,C118,Malignant neoplasm of overlapping sites of nasopharynx,11,
304,C119,"Malignant neoplasm of nasopharynx, unspecified",11,
305,C12,Malignant neoplasm of pyriform sinus,11,
306,C130,Malignant neoplasm of postcricoid region,11,
307,C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",11,
308,C132,Malignant neoplasm of posterior wall of hypopharynx,11,
309,C138,Malignant neoplasm of overlapping sites of hypopharynx,11,
310,C139,"Malignant neoplasm of hypopharynx, unspecified",11,
311,C140,"Malignant neoplasm of pharynx, unspecified",11,
312,C142,Malignant neoplasm of Waldeyer's ring,11,
313,C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",11,
314,C153,Malignant neoplasm of upper third of esophagus,9,
315,C154,Malignant neoplasm of middle third of esophagus,9,
316,C155,Malignant neoplasm of lower third of esophagus,9,
317,C158,Malignant neoplasm of overlapping sites of esophagus,9,
318,C159,"Malignant neoplasm of esophagus, unspecified",9,
319,C160,Malignant neoplasm of cardia,9,
320,C161,Malignant neoplasm of fundus of stomach,9,
321,C162,Malignant neoplasm of body of stomach,9,
322,C163,Malignant neoplasm of pyloric antrum,9,
323,C164,Malignant neoplasm of pylorus,9,
324,C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",9,
325,C166,"Malignant neoplasm of greater curvature of stomach, unspecified",9,
326,C168,Malignant neoplasm of overlapping sites of stomach,9,
327,C169,"Malignant neoplasm of stomach, unspecified",9,
328,C170,Malignant neoplasm of duodenum,9,
329,C171,Malignant neoplasm of jejunum,9,
330,C172,Malignant neoplasm of ileum,9,
331,C173,"Meckel's diverticulum, malignant",9,
332,C178,Malignant neoplasm of overlapping sites of small intestine,9,
333,C179,"Malignant neoplasm of small intestine, unspecified",9,
334,C180,Malignant neoplasm of cecum,11,
335,C181,Malignant neoplasm of appendix,11,
336,C182,Malignant neoplasm of ascending colon,11,
337,C183,Malignant neoplasm of hepatic flexure,11,
338,C184,Malignant neoplasm of transverse colon,11,
339,C185,Malignant neoplasm of splenic flexure,11,
340,C186,Malignant neoplasm of descending colon,11,
341,C187,Malignant neoplasm of sigmoid colon,11,
342,C188,Malignant neoplasm of overlapping sites of colon,11,
343,C189,"Malignant neoplasm of colon, unspecified",11,
344,C19,Malignant neoplasm of rectosigmoid junction,11,
345,C20,Malignant neoplasm of rectum,11,
346,C210,"Malignant neoplasm of anus, unspecified",11,
347,C211,Malignant neoplasm of anal canal,11,
348,C212,Malignant neoplasm of cloacogenic zone,11,
349,C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",11,
350,C220,Liver cell carcinoma,9,
351,C221,Intrahepatic bile duct carcinoma,9,
352,C222,Hepatoblastoma,9,
353,C223,Angiosarcoma of liver,9,
354,C224,Other sarcomas of liver,9,
355,C227,Other specified carcinomas of liver,9,
356,C228,"Malignant neoplasm of liver, primary, unspecified as to type",9,
357,C229,"Malignant neoplasm of liver, not specified as primary or secondary",9,
358,C23,Malignant neoplasm of gallbladder,9,
359,C240,Malignant neoplasm of extrahepatic bile duct,9,
360,C241,Malignant neoplasm of ampulla of Vater,9,
361,C248,Malignant neoplasm of overlapping sites of biliary tract,9,
362,C249,"Malignant neoplasm of biliary tract, unspecified",9,
363,C250,Malignant neoplasm of head of pancreas,9,
364,C251,Malignant neoplasm of body of pancreas,9,
365,C252,Malignant neoplasm of tail of pancreas,9,
366,C253,Malignant neoplasm of pancreatic duct,9,
367,C254,Malignant neoplasm of endocrine pancreas,9,
368,C257,Malignant neoplasm of other parts of pancreas,9,
369,C258,Malignant neoplasm of overlapping sites of pancreas,9,
370,C259,"Malignant neoplasm of pancreas, unspecified",9,
371,C260,"Malignant neoplasm of intestinal tract, part unspecified",11,
372,C261,Malignant neoplasm of spleen,11,
373,C269,Malignant neoplasm of ill-defined sites within the digestive system,11,
374,C300,Malignant neoplasm of nasal cavity,11,
375,C301,Malignant neoplasm of middle ear,11,
376,C310,Malignant neoplasm of maxillary sinus,11,
377,C311,Malignant neoplasm of ethmoidal sinus,11,
378,C312,Malignant neoplasm of frontal sinus,11,
379,C313,Malignant neoplasm of sphenoid sinus,11,
380,C318,Malignant neoplasm of overlapping sites of accessory sinuses,11,
381,C319,"Malignant neoplasm of accessory sinus, unspecified",11,
382,C320,Malignant neoplasm of glottis,11,
383,C321,Malignant neoplasm of supraglottis,11,
384,C322,Malignant neoplasm of subglottis,11,
385,C323,Malignant neoplasm of laryngeal cartilage,11,
386,C328,Malignant neoplasm of overlapping sites of larynx,11,
387,C329,"Malignant neoplasm of larynx, unspecified",11,
388,C33,Malignant neoplasm of trachea,9,
389,C3400,Malignant neoplasm of unspecified main bronchus,9,
390,C3401,Malignant neoplasm of right main bronchus,9,
391,C3402,Malignant neoplasm of left main bronchus,9,
392,C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",9,
393,C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",9,
394,C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",9,
395,C342,"Malignant neoplasm of middle lobe, bronchus or lung",9,
396,C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",9,
397,C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",9,
398,C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",9,
399,C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,9,
400,C3481,Malignant neoplasm of overlapping sites of right bronchus and lung,9,
401,C3482,Malignant neoplasm of overlapping sites of left bronchus and lung,9,
402,C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung,9,
403,C3491,Malignant neoplasm of unspecified part of right bronchus or lung,9,
404,C3492,Malignant neoplasm of unspecified part of left bronchus or lung,9,
405,C37,Malignant neoplasm of thymus,11,
406,C380,Malignant neoplasm of heart,10,
407,C381,Malignant neoplasm of anterior mediastinum,11,
408,C382,Malignant neoplasm of posterior mediastinum,11,
409,C383,"Malignant neoplasm of mediastinum, part unspecified",11,
410,C384,Malignant neoplasm of pleura,9,
411,C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",11,
412,C390,"Malignant neoplasm of upper respiratory tract, part unspecified",11,
413,C399,"Malignant neoplasm of lower respiratory tract, part unspecified",11,
414,C4000,Malignant neoplasm of scapula and long bones of unspecified upper limb,10,
415,C4001,Malignant neoplasm of scapula and long bones of right upper limb,10,
416,C4002,Malignant neoplasm of scapula and long bones of left upper limb,10,
417,C4010,Malignant neoplasm of short bones of unspecified upper limb,10,
418,C4011,Malignant neoplasm of short bones of right upper limb,10,
419,C4012,Malignant neoplasm of short bones of left upper limb,10,
420,C4020,Malignant neoplasm of long bones of unspecified lower limb,10,
421,C4021,Malignant neoplasm of long bones of right lower limb,10,
422,C4022,Malignant neoplasm of long bones of left lower limb,10,
423,C4030,Malignant neoplasm of short bones of unspecified lower limb,10,
424,C4031,Malignant neoplasm of short bones of right lower limb,10,
425,C4032,Malignant neoplasm of short bones of left lower limb,10,
426,C4080,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,10,
427,C4081,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,10,
428,C4082,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,10,
429,C4090,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,10,
430,C4091,Malignant neoplasm of unspecified bones and articular cartilage of right limb,10,
431,C4092,Malignant neoplasm of unspecified bones and articular cartilage of left limb,10,
432,C410,Malignant neoplasm of bones of skull and face,10,
433,C411,Malignant neoplasm of mandible,10,
434,C412,Malignant neoplasm of vertebral column,10,
435,C413,"Malignant neoplasm of ribs, sternum and clavicle",10,
436,C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx",10,
437,C419,"Malignant neoplasm of bone and articular cartilage, unspecified",10,
438,C430,Malignant melanoma of lip,13,
439,C4310,"Malignant melanoma of unspecified eyelid, including canthus",13,
440,C4311,"Malignant melanoma of right eyelid, including canthus",13,
441,C43111,"Malignant melanoma of right upper eyelid, including canthus",13,
442,C43112,"Malignant melanoma of right lower eyelid, including canthus",13,
443,C4312,"Malignant melanoma of left eyelid, including canthus",13,
444,C43121,"Malignant melanoma of left upper eyelid, including canthus",13,
445,C43122,"Malignant melanoma of left lower eyelid, including canthus",13,
446,C4320,Malignant melanoma of unspecified ear and external auricular canal,13,
447,C4321,Malignant melanoma of right ear and external auricular canal,13,
448,C4322,Malignant melanoma of left ear and external auricular canal,13,
449,C4330,Malignant melanoma of unspecified part of face,13,
450,C4331,Malignant melanoma of nose,13,
451,C4339,Malignant melanoma of other parts of face,13,
452,C434,Malignant melanoma of scalp and neck,13,
453,C4351,Malignant melanoma of anal skin,13,
454,C4352,Malignant melanoma of skin of breast,13,
455,C4359,Malignant melanoma of other part of trunk,13,
456,C4360,"Malignant melanoma of unspecified upper limb, including shoulder",13,
457,C4361,"Malignant melanoma of right upper limb, including shoulder",13,
458,C4362,"Malignant melanoma of left upper limb, including shoulder",13,
459,C4370,"Malignant melanoma of unspecified lower limb, including hip",13,
460,C4371,"Malignant melanoma of right lower limb, including hip",13,
461,C4372,"Malignant melanoma of left lower limb, including hip",13,
462,C438,Malignant melanoma of overlapping sites of skin,13,
463,C439,"Malignant melanoma of skin, unspecified",13,
464,C450,Mesothelioma of pleura,9,
465,C451,Mesothelioma of peritoneum,9,
466,C452,Mesothelioma of pericardium,9,
467,C457,Mesothelioma of other sites,9,
468,C459,"Mesothelioma, unspecified",9,
469,C460,Kaposi's sarcoma of skin,10,
470,C461,Kaposi's sarcoma of soft tissue,10,
471,C462,Kaposi's sarcoma of palate,10,
472,C463,Kaposi's sarcoma of lymph nodes,10,
473,C464,Kaposi's sarcoma of gastrointestinal sites,10,
474,C4650,Kaposi's sarcoma of unspecified lung,10,
475,C4651,Kaposi's sarcoma of right lung,10,
476,C4652,Kaposi's sarcoma of left lung,10,
477,C467,Kaposi's sarcoma of other sites,10,
478,C469,"Kaposi's sarcoma, unspecified",10,
479,C470,"Malignant neoplasm of peripheral nerves of head, face and neck",10,
480,C4710,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",10,
481,C4711,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",10,
482,C4712,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",10,
483,C4720,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",10,
484,C4721,"Malignant neoplasm of peripheral nerves of right lower limb, including hip",10,
485,C4722,"Malignant neoplasm of peripheral nerves of left lower limb, including hip",10,
486,C473,Malignant neoplasm of peripheral nerves of thorax,10,
487,C474,Malignant neoplasm of peripheral nerves of abdomen,10,
488,C475,Malignant neoplasm of peripheral nerves of pelvis,10,
489,C476,"Malignant neoplasm of peripheral nerves of trunk, unspecified",10,
490,C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,10,
491,C479,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",10,
492,C480,Malignant neoplasm of retroperitoneum,9,
493,C481,Malignant neoplasm of specified parts of peritoneum,9,
494,C482,"Malignant neoplasm of peritoneum, unspecified",9,
495,C488,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,9,
496,C490,"Malignant neoplasm of connective and soft tissue of head, face and neck",10,
497,C4910,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",10,
498,C4911,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",10,
499,C4912,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",10,
500,C4920,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",10,
501,C4921,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",10,
502,C4922,"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",10,
503,C493,Malignant neoplasm of connective and soft tissue of thorax,10,
504,C494,Malignant neoplasm of connective and soft tissue of abdomen,10,
505,C495,Malignant neoplasm of connective and soft tissue of pelvis,10,
506,C496,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",10,
507,C498,Malignant neoplasm of overlapping sites of connective and soft tissue,10,
508,C499,"Malignant neoplasm of connective and soft tissue, unspecified",10,
509,C49A0,"Gastrointestinal stromal tumor, unspecified site",10,
510,C49A1,Gastrointestinal stromal tumor of esophagus,10,
511,C49A2,Gastrointestinal stromal tumor of stomach,10,
512,C49A3,Gastrointestinal stromal tumor of small intestine,10,
513,C49A4,Gastrointestinal stromal tumor of large intestine,10,
514,C49A5,Gastrointestinal stromal tumor of rectum,10,
515,C49A9,Gastrointestinal stromal tumor of other sites,10,
516,C4A0,Merkel cell carcinoma of lip,12,
517,C4A10,"Merkel cell carcinoma of unspecified eyelid, including canthus",12,
518,C4A11,"Merkel cell carcinoma of right eyelid, including canthus",12,
519,C4A111,"Merkel cell carcinoma of right upper eyelid, including canthus",12,
520,C4A112,"Merkel cell carcinoma of right lower eyelid, including canthus",12,
521,C4A12,"Merkel cell carcinoma of left eyelid, including canthus",12,
522,C4A121,"Merkel cell carcinoma of left upper eyelid, including canthus",12,
523,C4A122,"Merkel cell carcinoma of left lower eyelid, including canthus",12,
524,C4A20,Merkel cell carcinoma of unspecified ear and external auricular canal,12,
525,C4A21,Merkel cell carcinoma of right ear and external auricular canal,12,
526,C4A22,Merkel cell carcinoma of left ear and external auricular canal,12,
527,C4A30,Merkel cell carcinoma of unspecified part of face,12,
528,C4A31,Merkel cell carcinoma of nose,12,
529,C4A39,Merkel cell carcinoma of other parts of face,12,
530,C4A4,Merkel cell carcinoma of scalp and neck,12,
531,C4A51,Merkel cell carcinoma of anal skin,12,
